variable,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26
temperature_2m_max,25.22903225806452,25.960714285714285,26.76451612903226,26.116666666666667,25.032258064516128,23.89,24.635483870967743,24.151612903225807,23.85666666666667,22.62903225806452,23.896666666666665,24.251612903225805,25.061290322580643,24.392857142857142
temperature_2m_min,15.412903225806453,15.575,15.506451612903223,16.473333333333333,15.858064516129032,15.733333333333333,16.10322580645161,15.212903225806452,15.223333333333333,14.87741935483871,15.5,14.658064516129032,15.16451612903226,15.87857142857143
precipitation_sum,45.6,67.5,48.4,220.6,466.7,461.6,176.9,314.2,458.3,564.7,281.2,144.9,20.4,35.7
