Zona_Pais,01-2025,02-2025,03-2025,04-2025,05-2025,06-2025,07-2025,08-2025,09-2025,10-2025,11-2025,12-2025,Total_Ene_to_Dic2025,01-2026,02-2026,Total_Ene_Feb2026
PERU,1194.0,1594.0,1376.0,1377.0,1576.0,1187.0,1681.0,1239.0,1154.0,1372.0,1758.0,1745.0,17253.0,1750.0,2000.0,3750.0
SURINAM,15.0,26.0,6.0,4.0,4.0,7.0,5.0,8.0,13.0,8.0,5.0,7.0,119.0,2.0,4.0,6.0
URUGUAY,484.0,435.0,376.0,520.0,361.0,570.0,442.0,410.0,316.0,252.0,428.0,495.0,5089.0,520.0,427.0,947.0
VENEZUELA,340.0,432.0,410.0,343.0,388.0,396.0,386.0,436.0,476.0,381.0,430.0,565.0,4983.0,320.0,381.0,701.0
CARIBE,649.0,841.0,819.0,947.0,988.0,1019.0,1108.0,1215.0,863.0,875.0,1092.0,893.0,11309.0,845.0,1143.0,1988.0
BAHAMAS,28.0,23.0,52.0,67.0,58.0,78.0,101.0,85.0,60.0,71.0,72.0,40.0,735.0,37.0,63.0,100.0
BERMUDA,4.0,3.0,5.0,6.0,8.0,8.0,11.0,5.0,3.0,2.0,13.0,5.0,73.0,3.0,3.0,6.0
CUBA,71.0,90.0,107.0,84.0,130.0,102.0,198.0,183.0,128.0,172.0,195.0,206.0,1666.0,174.0,171.0,345.0
HAITÍ,26.0,28.0,36.0,22.0,27.0,17.0,21.0,33.0,30.0,24.0,25.0,28.0,317.0,,,
JAMAICA,48.0,84.0,62.0,95.0,79.0,82.0,90.0,81.0,64.0,61.0,76.0,71.0,893.0,52.0,115.0,167.0
PUERTO RICO,0.0,0.0,0.0,5.0,22.0,27.0,18.0,31.0,8.0,21.0,19.0,5.0,156.0,10.0,11.0,21.0
REPÚBLICA DOMINICANA,367.0,455.0,437.0,523.0,425.0,542.0,520.0,625.0,427.0,425.0,544.0,356.0,5646.0,,,
TRINIDAD Y TOBAGO,49.0,93.0,61.0,65.0,122.0,91.0,92.0,92.0,84.0,45.0,68.0,111.0,973.0,39.0,153.0,192.0
OTROS CARIBE,56.0,65.0,59.0,80.0,117.0,72.0,57.0,80.0,59.0,54.0,80.0,71.0,850.0,63.0,198.0,261.0
EUROPA,52837.0,55883.0,50122.0,44350.0,22153.0,20594.0,45087.0,40367.0,18379.0,23986.0,44674.0,53210.0,471642.0,54283.0,61587.0,115870.0
ALEMANIA,9653.0,10049.0,10907.0,7708.0,3629.0,2824.0,5160.0,6415.0,3549.0,5397.0,9537.0,8672.0,83500.0,9298.0,11036.0,20334.0
AUSTRIA,1112.0,1309.0,845.0,614.0,338.0,328.0,1073.0,629.0,298.0,410.0,791.0,981.0,8728.0,1018.0,1277.0,2295.0
BELGICA,1339.0,1649.0,1178.0,1262.0,518.0,724.0,1924.0,1010.0,548.0,559.0,1177.0,1255.0,13143.0,1147.0,1858.0,3005.0
DINAMARCA,1164.0,1140.0,827.0,563.0,219.0,253.0,786.0,173.0,158.0,439.0,658.0,973.0,7353.0,1167.0,1372.0,2539.0
ESLOVAQUIA,190.0,317.0,148.0,162.0,150.0,118.0,82.0,84.0,65.0,119.0,166.0,186.0,1787.0,241.0,333.0,574.0
ESPAÑA,3413.0,3746.0,4267.0,4734.0,3292.0,4069.0,7069.0,10226.0,3712.0,3460.0,5087.0,4794.0,57869.0,3962.0,4401.0,8363.0
FINLANDIA,248.0,247.0,152.0,112.0,113.0,78.0,89.0,72.0,62.0,84.0,229.0,360.0,1846.0,269.0,251.0,520.0
FRANCIA,9387.0,11996.0,9187.0,6495.0,2773.0,2087.0,5927.0,5733.0,1721.0,2959.0,5343.0,7715.0,71323.0,9394.0,12808.0,22202.0
HUNGRIA,418.0,300.0,334.0,220.0,127.0,89.0,128.0,116.0,78.0,140.0,273.0,385.0,2608.0,496.0,381.0,877.0
IRLANDA,494.0,511.0,500.0,500.0,401.0,382.0,577.0,438.0,201.0,235.0,482.0,535.0,5256.0,548.0,493.0,1041.0
ISRAEL,1089.0,1048.0,928.0,1780.0,1193.0,859.0,1266.0,1073.0,1144.0,700.0,920.0,1317.0,13317.0,1698.0,1624.0,3322.0
ITALIA,2296.0,2151.0,1961.0,1969.0,1088.0,1090.0,1493.0,2839.0,840.0,1133.0,2146.0,3704.0,22710.0,2643.0,2577.0,5220.0
NORUEGA,549.0,474.0,302.0,367.0,116.0,220.0,287.0,133.0,117.0,224.0,332.0,764.0,3885.0,506.0,589.0,1095.0
PAISES_BAJOS,3826.0,3531.0,3013.0,3169.0,1559.0,1285.0,7169.0,2954.0,1297.0,1594.0,3209.0,3519.0,36125.0,,,
POLONIA,1345.0,1454.0,841.0,546.0,362.0,342.0,430.0,448.0,266.0,502.0,1322.0,979.0,8837.0,1637.0,1658.0,3295.0
PORTUGAL,438.0,401.0,582.0,681.0,410.0,292.0,382.0,455.0,302.0,239.0,672.0,568.0,5422.0,500.0,581.0,1081.0
REINO_UNIDO,8828.0,8720.0,8398.0,8314.0,3372.0,3039.0,6823.0,4911.0,1975.0,2638.0,6262.0,7074.0,70354.0,,,
REPUBLICA_CHECA,897.0,1090.0,841.0,383.0,193.0,250.0,368.0,228.0,277.0,371.0,1026.0,891.0,6815.0,,,
RUMANIA,318.0,256.0,172.0,142.0,95.0,73.0,109.0,176.0,108.0,137.0,272.0,460.0,2318.0,303.0,262.0,565.0
RUSIA,385.0,373.0,413.0,279.0,217.0,243.0,281.0,259.0,162.0,274.0,414.0,558.0,3858.0,502.0,425.0,927.0
SUECIA,988.0,877.0,614.0,383.0,204.0,279.0,274.0,184.0,171.0,335.0,683.0,2243.0,7235.0,1243.0,1052.0,2295.0
SUIZA,2835.0,2620.0,2273.0,2806.0,1069.0,1052.0,2602.0,901.0,823.0,1295.0,2183.0,3250.0,23709.0,2704.0,2795.0,5499.0
OTROS_EUROPA,1625.0,1624.0,1439.0,1161.0,715.0,618.0,788.0,910.0,505.0,742.0,1490.0,2027.0,13644.0,,,
ASIA_Y_EL_PACIFICO,4329.0,3892.0,6318.0,4418.0,4479.0,3563.0,3650.0,3654.0,2645.0,3079.0,5679.0,7519.0,53225.0,,,
CHINA,907.0,923.0,2188.0,1109.0,1172.0,836.0,874.0,1023.0,787.0,966.0,1833.0,2008.0,14626.0,1412.0,1220.0,2632.0
FILIPINAS,218.0,178.0,185.0,232.0,192.0,157.0,155.0,176.0,159.0,161.0,178.0,166.0,2157.0,232.0,177.0,409.0
INDIA,683.0,751.0,1450.0,1066.0,1161.0,844.0,911.0,814.0,478.0,516.0,1539.0,2497.0,12710.0,730.0,927.0,1657.0
JAPON,356.0,462.0,576.0,358.0,332.0,273.0,313.0,356.0,232.0,214.0,383.0,660.0,4515.0,433.0,678.0,1111.0
REP_DE_COREA_SUR,350.0,322.0,339.0,238.0,264.0,264.0,274.0,180.0,173.0,234.0,254.0,310.0,3202.0,,,
REP. DEM. POP. DE COREA (NORTE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,124.0,86.0,160.0,86.0,96.0,89.0,85.0,66.0,78.0,65.0,163.0,122.0,1220.0,113.0,143.0,256.0
AUSTRALIA,1193.0,746.0,825.0,860.0,770.0,642.0,620.0,585.0,424.0,563.0,835.0,1117.0,9180.0,1062.0,837.0,1899.0
NUEVA_ZELANDA,242.0,174.0,185.0,252.0,198.0,219.0,200.0,231.0,144.0,156.0,180.0,238.0,2419.0,,,
OTROS_ASIA_Y_EL_PACIFICO,256.0,250.0,410.0,217.0,294.0,239.0,218.0,223.0,170.0,204.0,314.0,401.0,3196.0,,,
AFRICA,284.0,314.0,374.0,301.0,327.0,218.0,290.0,277.0,221.0,204.0,363.0,359.0,3532.0,,,
MARRUECOS,33.0,34.0,11.0,32.0,21.0,15.0,21.0,33.0,13.0,16.0,33.0,40.0,302.0,34.0,22.0,56.0
NIGERIA,15.0,37.0,25.0,28.0,48.0,27.0,36.0,38.0,19.0,17.0,33.0,28.0,351.0,10.0,45.0,55.0
SUDAFRICA,146.0,145.0,186.0,150.0,177.0,120.0,149.0,136.0,139.0,96.0,185.0,183.0,1812.0,148.0,162.0,310.0
OTROS_AFRICA,90.0,98.0,152.0,91.0,81.0,56.0,84.0,70.0,50.0,75.0,112.0,108.0,1067.0,,,
ORIENTE_MEDIO,102.0,77.0,106.0,100.0,114.0,78.0,152.0,79.0,49.0,80.0,185.0,122.0,1244.0,,,
ARABIA_SAUDITA,20.0,12.0,13.0,20.0,21.0,23.0,61.0,13.0,17.0,21.0,49.0,21.0,291.0,,,
EGIPTO,22.0,16.0,7.0,20.0,24.0,14.0,16.0,18.0,8.0,18.0,47.0,36.0,246.0,27.0,17.0,44.0
EMIRATOS_ARABES_UNIDOS,7.0,10.0,6.0,3.0,13.0,6.0,26.0,3.0,8.0,6.0,16.0,8.0,112.0,,,
JORDANIA,9.0,9.0,14.0,8.0,15.0,6.0,9.0,9.0,5.0,6.0,8.0,6.0,104.0,11.0,9.0,20.0
LIBANO,18.0,16.0,34.0,22.0,23.0,8.0,7.0,12.0,1.0,10.0,14.0,19.0,184.0,7.0,22.0,29.0
OTROS_ORIENTE_MEDIO,26.0,14.0,32.0,27.0,18.0,21.0,33.0,24.0,10.0,19.0,51.0,32.0,307.0,,,
,,,,,,,,,,,,,,16478.0,15632.0,32110.0
