Zona_Pais,01-2025,02-2025,03-2025,04-2025,05-2025,06-2025,07-2025,08-2025,09-2025,10-2025,11-2025,12-2025,01-2026,02-2026,Total_2025,Total_2026,Total
RUMANIA,318.0,256.0,172.0,142.0,95.0,73.0,109.0,176.0,108.0,137.0,272.0,460.0,303.0,262.0,2318.0,565.0,2883.0
RUSIA,385.0,373.0,413.0,279.0,217.0,243.0,281.0,259.0,162.0,274.0,414.0,558.0,502.0,425.0,3858.0,927.0,4785.0
SUECIA,988.0,877.0,614.0,383.0,204.0,279.0,274.0,184.0,171.0,335.0,683.0,2243.0,1243.0,1052.0,7235.0,2295.0,9530.0
SUIZA,2835.0,2620.0,2273.0,2806.0,1069.0,1052.0,2602.0,901.0,823.0,1295.0,2183.0,3250.0,2704.0,2795.0,23709.0,5499.0,29208.0
OTROS EUROPA,1625.0,1624.0,1439.0,1161.0,715.0,618.0,788.0,910.0,505.0,742.0,1490.0,2027.0,1815.0,1804.0,13644.0,3619.0,17263.0
ASIA Y EL PACIFICO,4329.0,3892.0,6318.0,4418.0,4479.0,3563.0,3650.0,3654.0,2645.0,3079.0,5679.0,7519.0,4746.0,4837.0,53225.0,9583.0,62808.0
CHINA,907.0,923.0,2188.0,1109.0,1172.0,836.0,874.0,1023.0,787.0,966.0,1833.0,2008.0,1412.0,1220.0,14626.0,2632.0,17258.0
FILIPINAS,218.0,178.0,185.0,232.0,192.0,157.0,155.0,176.0,159.0,161.0,178.0,166.0,232.0,177.0,2157.0,409.0,2566.0
INDIA,683.0,751.0,1450.0,1066.0,1161.0,844.0,911.0,814.0,478.0,516.0,1539.0,2497.0,730.0,927.0,12710.0,1657.0,14367.0
JAPON,356.0,462.0,576.0,358.0,332.0,273.0,313.0,356.0,232.0,214.0,383.0,660.0,433.0,678.0,4515.0,1111.0,5626.0
REP. DE COREA (SUR),350.0,322.0,339.0,238.0,264.0,264.0,274.0,180.0,173.0,234.0,254.0,310.0,235.0,420.0,3202.0,655.0,3857.0
REP. DEM. POP. DE COREA (NORTE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,124.0,86.0,160.0,86.0,96.0,89.0,85.0,66.0,78.0,65.0,163.0,122.0,113.0,143.0,1220.0,256.0,1476.0
AUSTRALIA,1193.0,746.0,825.0,860.0,770.0,642.0,620.0,585.0,424.0,563.0,835.0,1117.0,1062.0,837.0,9180.0,1899.0,11079.0
NUEVA ZELANDA,242.0,174.0,185.0,252.0,198.0,219.0,200.0,231.0,144.0,156.0,180.0,238.0,200.0,163.0,2419.0,363.0,2782.0
OTROS ASIA Y EL PACIFICO,256.0,250.0,410.0,217.0,294.0,239.0,218.0,223.0,170.0,204.0,314.0,401.0,329.0,272.0,3196.0,601.0,3797.0
ÁFRICA,284.0,314.0,374.0,301.0,327.0,218.0,290.0,277.0,221.0,204.0,363.0,359.0,264.0,300.0,3532.0,564.0,4096.0
MARRUECOS,33.0,34.0,11.0,32.0,21.0,15.0,21.0,33.0,13.0,16.0,33.0,40.0,34.0,22.0,302.0,56.0,358.0
NIGERIA,15.0,37.0,25.0,28.0,48.0,27.0,36.0,38.0,19.0,17.0,33.0,28.0,10.0,45.0,351.0,55.0,406.0
SUDAFRICA,146.0,145.0,186.0,150.0,177.0,120.0,149.0,136.0,139.0,96.0,185.0,183.0,148.0,162.0,1812.0,310.0,2122.0
OTROS ÁFRICA,90.0,98.0,152.0,91.0,81.0,56.0,84.0,70.0,50.0,75.0,112.0,108.0,72.0,71.0,1067.0,143.0,1210.0
ORIENTE MEDIO,102.0,77.0,106.0,100.0,114.0,78.0,152.0,79.0,49.0,80.0,185.0,122.0,95.0,86.0,1244.0,181.0,1425.0
ARABIA SAUDITA,20.0,12.0,13.0,20.0,21.0,23.0,61.0,13.0,17.0,21.0,49.0,21.0,23.0,6.0,291.0,29.0,320.0
EGIPTO,22.0,16.0,7.0,20.0,24.0,14.0,16.0,18.0,8.0,18.0,47.0,36.0,27.0,17.0,246.0,44.0,290.0
EMIRATOS ARABES UNIDOS,7.0,10.0,6.0,3.0,13.0,6.0,26.0,3.0,8.0,6.0,16.0,8.0,2.0,8.0,112.0,10.0,122.0
JORDANIA,9.0,9.0,14.0,8.0,15.0,6.0,9.0,9.0,5.0,6.0,8.0,6.0,11.0,9.0,104.0,20.0,124.0
LIBANO,18.0,16.0,34.0,22.0,23.0,8.0,7.0,12.0,1.0,10.0,14.0,19.0,7.0,22.0,184.0,29.0,213.0
OTROS ORIENTE MEDIO,26.0,14.0,32.0,27.0,18.0,21.0,33.0,24.0,10.0,19.0,51.0,32.0,25.0,24.0,307.0,49.0,356.0
