Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,115986,114420,230406
AMERICA_DEL_NORTE,112741,111122,223863
CANADA,35094,34590,69684
ESTADOS_UNIDOS,77512,76417,153929
