Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,26563,21444,48007
AMERICA_DEL_NORTE,5500,4836,10336
CANADA,2262,2021,4283
ESTADOS_UNIDOS,2928,2597,5525
