Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,321992,331967,653959
AMERICA_DEL_NORTE,224641,230248,454889
CANADA,51655,52221,103876
ESTADOS_UNIDOS,165662,171365,337027
MEXICO,7324,6662,13986
AMERICA_CENTRAL,20640,18134,38774
BELICE,58,47,105
EL_SALVADOR,2222,1985,4207
GUATEMALA,2883,3475,6358
HONDURAS,1525,1262,2787
NICARAGUA,9186,6828,16014
PANAMA,4766,4537,9303
