Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,177976,194319,372295
AMERICA_DEL_NORTE,105506,113174,218680
CANADA,14231,15520,29751
ESTADOS_UNIDOS,84424,91354,175778
