Zona_Pais,Enero,Febrero,Total_Ene_Feb
TOTAL,294087,308873,602960
AMERICA_DEL_NORTE,218326,224383,442709
CANADA,49325,50111,99436
ESTADOS_UNIDOS,162010,167850,329860
